Author baihacker (bailiangsky@gmail.com)
https://github.com/baihacker

dir = data/pe
start = 678
end = 723
top = -1
format = console

This rating is based on Codeforces' rating system.
Author Mike Mirzayanov (mirzayanovmr@gmail.com)
http://codeforces.com/blog/entry/20762
http://codeforces.com/contest/1/submission/13861109

participants = 704

rank    id                      rating    max rating
1       Gennady                 3023      3023
2       endagorion              2319      2414
3       hos-lyric               2299      2486
4       ariacas                 2268      2340
5       fjzzq2002               2187      2187
6       ksun48                  2140      2140
7       LayCurse                2092      2092
8       Radewoosh               2077      2491
9       izban                   2060      2060
10      uwi                     2044      2044
11      ecnerwala               1999      1999
12      Little7                 1987      2209
13      radeye                  1972      2004
14      yefllower               1967      1967
15      baihacker               1902      2153
16      jtnydv25                1895      1895
17      BerkeleyMath            1878      1932
18      semiexp                 1876      1876
19      user202729              1861      1861
20      Doju                    1858      2069
21      aleksey                 1849      2021
22      jakob223                1847      1847
23      fbreton                 1842      1879
24      binonunquineist         1840      1840
25      pwild                   1834      1834
26      shs.10978               1833      1897
27      epiclolz                1829      1860
28      300iq                   1826      1826
29      brob26                  1825      1891
30      snuke                   1818      1902
31      natsugiri               1814      1824
32      alaneos777              1807      1962
33      rkm0959                 1801      1831
34      AlvinTse                1799      1799
35      x22                     1794      2009
36      Areesh                  1784      1784
37      jschnei                 1778      1778
38      Golovanov399            1769      2262
39      grechnik                1750      1915
40      kunyavskiy              1742      1906
41      lzyrapx                 1742      1772
42      Min_25                  1725      1725
43      neverforget             1724      1857
44      ajay_verma              1719      1800
45      Jacob_Elafandi          1718      1718
46      liuguangxi              1716      1759
47      mellendo                1715      1725
48      satashun                1714      1714
49      maspy                   1711      1786
50      AleksMat                1700      1782
51      avril14th               1700      1700
52      crex                    1684      1704
53      pjt33                   1679      1804
54      Yee_172                 1673      1709
55      hirose                  1665      1665
56      roosephu                1662      1686
57      cz_xuyixuan             1656      1729
58      chocorusk               1654      1749
59      Jaehyun                 1652      1946
60      robert                  1651      1680
61      AndreySergunin          1647      1932
62      square1001              1646      1777
63      Avi Levy                1645      1655
64      ceebo53                 1642      1660
65      fram                    1641      1641
66      JTJL                    1640      1698
67      exoji2e                 1640      1640
68      skydec                  1639      1639
69      cyclops                 1638      1686
70      Bobbit                  1637      1777
71      andor9                  1637      1637
72      chaotic_iak             1637      1637
73      Lionel Moisan           1635      1664
74      Rei.Henigman            1633      1633
75      dooglius                1633      1633
76      RDShah                  1625      1625
77      mHuman                  1625      1625
78      Wu Yin                  1623      1687
79      arknave                 1622      1622
80      bcollet                 1622      1707
81      utomaya                 1622      1679
82      ysymyth                 1621      1651
83      kriii                   1618      1693
84      grekiki                 1617      1617
85      MarX                    1614      1614
86      Robert_OConnor          1613      1613
87      noovd                   1613      1613
88      sigma                   1613      1613
89      simonlindholm           1609      1609
90      Mip182                  1608      1608
91      lovemathboy             1607      1607
92      cmk                     1605      1849
93      Deathekirl              1604      1604
94      abcwuhang               1604      1780
95      jinzhr93                1601      1643
96      Madiyar Aitbayev        1600      1600
97      SlavaKabanovich         1598      1823
98      mathsjames              1596      1663
99      Thomas Beuman           1595      1718
100     Celesta                 1593      1661
101     asaelr                  1590      1870
102     dzerzhinski01           1590      1590
103     emofunc                 1589      1589
104     TatsuDX                 1588      1588
105     SamPinxteren            1586      1586
106     Vintarel                1586      1586
107     Santiago Egido          1584      1647
108     elio                    1583      1583
109     Tepsi                   1582      1736
110     Yoni                    1580      1710
