Author baihacker (bailiangsky@gmail.com)
https://github.com/baihacker

dir = data/pe/
start = 477
end = 522
top = -1
format = console

This rating is based on Codeforces' rating system.
Author Mike Mirzayanov (mirzayanovmr@gmail.com)
http://codeforces.com/blog/entry/20762
http://codeforces.com/contest/1/submission/13861109

participants = 902

rank    id                      rating    max rating
1       Min_25                  2310      2310      
2       apia                    2302      2498      
3       x22                     2183      2291      
4       Anton_Lunyov            2072      2352      
5       ariacas                 2060      2271      
6       aleksey                 2052      2297      
7       lizhusong922            2051      2051      
8       WG4ZHZ2P2Q              2031      2034      
9       hirose                  2024      2028      
10      mclo                    2000      2058      
11      Tepsi                   1966      2195      
12      dev_random              1962      2129      
13      cmk                     1958      2024      
14      grechnik                1957      2247      
15      ZhouYuChen              1956      1956      
16      uwi                     1953      2097      
17      ajay_verma              1939      2096      
18      __Shi                   1907      1907      
19      Leonhard                1876      1876      
20      Jasper                  1866      1866      
21      RobertStanforth         1855      2145      
22      utomaya                 1851      1898      
23      Izrak                   1847      1847      
24      baihacker               1835      1959      
25      akovski                 1819      2011      
26      ofir                    1819      1819      
27      Jakob Weisblat          1817      1817      
28      thorfax                 1814      1814      
29      umu                     1811      1825      
30      wuyingddg               1795      1795      
31      zielaj                  1786      1786      
32      qwer_zcc                1784      1784      
33      sergej.samborskij       1771      1817      
34      stqn                    1769      1788      
35      unbeatable0             1769      1769      
36      mr027                   1758      1758      
37      LayCurse                1748      1748      
38      cgy4ever                1744      1744      
39      natsugiri               1742      1742      
40      bjin                    1720      1720      
41      Friedrich Regen         1718      1718      
42      ecnerwal                1714      1887      
43      kunyavskiy              1714      1883      
44      Dr.Korbin               1713      1713      
45      Nabb                    1708      1981      
46      foreverbell             1701      1767      
47      Lucy_Hedgehog           1689      2014      
48      pwensing                1689      1689      
49      rprestezog              1687      1687      
50      ruilov                  1687      1687      
51      SnapDragon              1683      1683      
52      fram                    1682      1682      
53      mtomek                  1682      1682      
54      laurent.mazare          1681      1970      
55      orzcc                   1677      1685      
56      Bobbit                  1676      1967      
57      endagorion              1670      1907      
58      Icewing                 1667      1691      
59      Jonathan Paulson        1667      1667      
60      amic                    1666      1764      
61      nblt                    1666      1666      
62      sherlock                1665      1779      
63      Jie Lu                  1663      1663      
64      GHost1                  1662      1662      
65      willhsmit               1661      1661      
66      Mrrl                    1660      1660      
67      ving                    1655      1655      
68      M.Healy                 1653      1689      
69      ihung                   1653      1653      
70      parigi2                 1653      1653      
71      Nore                    1649      1649      
72      balakrishnan_v          1646      1646      
73      Stilwell                1645      1645      
74      pushistik               1644      1693      
75      Heiko Schwartz          1642      1642      
76      glodavac                1639      1639      
77      urimend                 1637      1706      
78      Pengolodh               1635      1636      
79      Martin Hurryabit        1634      1634      
80      Krox                    1633      1633      
81      cheng.di                1633      1778      
82      ichyo                   1632      1632      
83      JohnSmith               1630      1696      
84      Dor Shmoish             1629      1743      
85      wartysoybean            1629      1629      
86      LastHero                1628      1628      
87      SCLT                    1628      1628      
88      it3                     1628      1758      
89      plamenko                1627      1627      
90      heni                    1625      1755      
91      DerekLedbetter          1619      1772      
92      al13n                   1619      1619      
93      ldesnogu                1617      1617      
94      Kairat Maisarov         1616      1616      
95      Abe27342                1615      1615      
96      pwild                   1615      1625      
97      TripleM                 1614      1614      
98      neverforget             1613      1637      
99      adkroxx                 1612      1675      
100     kcm1700                 1611      1681      
101     Cheng Sun               1609      1609      
102     rockly                  1609      1668      
103     Artificial Mind         1607      1607      
104     adrianbudau             1606      1606      
105     saharsh                 1606      1678      
106     kozima                  1604      1606      
107     czp                     1603      1603      
108     Doju                    1602      1602      
109     grahame1024             1602      1602      
110     Sacchan                 1600      1607      
111     linguo                  1600      1985      
112     tesulo                  1600      1600      
113     quasisphere             1599      1903      
114     tanzaku                 1598      1598      
115     MaWeK                   1597      1597      
116     tanonev                 1595      1595      
117     Pheesh                  1594      1653      
118     nfortino                1594      1594      
119     getero                  1589      1633      
120     madiot                  1589      1589      
121     stoned                  1589      1948      
122     Nivsir                  1586      1642      
123     aruff                   1585      1585      
124     djocar                  1585      1585      
125     lookingfor              1584      1584      
126     m_aszek                 1584      1584      
127     Nymiak                  1583      1583      
128     Soumyadeep              1583      1583      
129     jourgun                 1583      1583      
130     wwwwodddd               1582      1582      
131     eax255                  1581      1590      
132     ACRush                  1579      1579      
133     zhj                     1578      1609      
134     snabit                  1576      1576      
135     unc                     1576      1576      
136     gepatzlow               1575      1575      
137     flydutchman             1574      1574      
138     gusorjan                1573      1573      
139     algernon63              1571      1571      
140     AlexSadzawka            1570      1570      
141     jun0                    1568      1630      
142     ogiekako                1566      1566      
143     janos                   1565      1651      
144     zimpha                  1564      1564      
145     Nir                     1562      1562      
146     eulerscheZahl           1562      1562      
147     Fabian Rothelius        1561      1715      
148     sirknightingfail        1560      1587      
149     Benoit Esnard           1559      1559      
150     inamori                 1559      1632      
151     winger                  1559      1838      
152     Guego                   1556      1661      
153     ikatanic                1555      1555      
154     Kelvinator              1554      1574      
155     protostar.98            1554      1554      
156     hyperddude              1553      1553      
157     maaartinus              1553      1553      
158     sjhillier               1553      1704      
159     ecowarrior              1552      1607      
